NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,TURNOVER %,BLOCKED %,OFFENSIVE REBOUND %,POINTS PER POSSESSION OFFENSE,2PT % DEFENSE,3PT % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFNESE,3PT RATE DEFENSE,OP ASSIST %,TURNOVER % DEFENSE,BLOCK %,DEFENSIVE REBOUND %,POINTS PER POSSESSION DEFENSE,FREE THROW %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
46,TCU,,,,,,,,,,,,,13.332,106.165,92.833,,54.4,25.6,48.9,36.8,34.3,61.1,17.5,10.5,36.8,1.052,43.3,31.9,44.9,24.7,33.8,50.4,21.7,14.6,63.2,0.887,67.2,9.516,0.824,,,,,,,48,73,38,,59,344,201,69,256,28,97,254,22,101,38,135,57,67,82,176,69,26,340,38,251,317,46,,,TCU
47,Marquette,,,,,,,,,,,,,13.404,106.738,93.334,,58.9,31.8,53.8,32,45.6,66.3,17.5,8.1,26.5,1.078,45.5,30.1,45.4,31.5,37.8,53,22.1,9.7,73.5,0.884,68.3,19.391,0.824,,,,,,,47,68,43,,16,228,63,169,40,9,97,138,243,68,71,99,65,191,182,224,56,138,120,36,225,139,46,,,Marquette
48,Miami FL,,,,,,,,,,,,,13.885,111.586,97.701,,55.3,33.1,53.3,26.7,36.4,50,17.1,6.4,34.9,1.117,51.8,32.2,50.4,30.1,39.2,50,24.2,8.8,65.1,0.967,72.1,16.217,0.822,,,,,,,43,21,99,,43,176,75,272,206,195,84,54,46,40,236,146,202,161,224,161,30,161,318,110,135,193,48,,,Miami FL
49,Penn St.,,,,,,,,,,,,,13.438,108.017,94.579,,54,42.2,58.7,16.2,50.7,61.1,14.5,9.6,18,1.125,47.1,28.7,45.3,19.2,42.8,55.8,15.6,5,82,0.944,75.4,15.089,0.822,,,,,,,46,52,55,,66,7,10,361,7,28,17,214,357,36,117,62,63,16,300,272,324,324,7,85,64,216,48,,,Penn St.
50,Mississippi,,,,,,,,,,,,,13.099,108.275,95.176,,51.5,34.6,51.6,31.4,32.7,50.3,20.9,6.7,39.1,1.069,44.1,37.5,48.1,22.8,32.7,58.5,21.3,10.3,60.9,0.949,68,15.083,0.815,,,,,,,50,48,61,,124,128,102,180,286,188,259,65,8,79,48,294,130,40,68,307,79,121,356,92,237,217,50,,,Mississippi
51,Saint Louis,,,,,,,,,,,,,13.33,111.397,98.067,,51,32.6,50.3,31,34.1,53.8,15.3,10.8,30.1,1.07,44.2,31.7,45.4,35.4,37,48,13.7,7.4,69.9,1.031,74.4,28.899,0.812,,,,,,,49,23,103,,137,198,146,187,261,109,29,263,146,78,51,129,65,251,155,121,353,218,218,209,85,30,51,,,Saint Louis
52,Dayton,,,,,,,,,,,,,11.883,103.124,91.241,,51.6,26.8,46.9,35.5,41.1,61.7,22.5,8.2,30.6,0.943,41.9,29.5,42.9,24.6,40.8,50,18.9,12.4,69.4,0.894,68.9,19.384,0.803,,,,,,,57,130,23,,122,334,275,99,98,24,313,148,133,277,19,84,24,65,264,161,174,64,230,42,208,141,52,,,Dayton
53,Florida,,,,,,,,,,,,,12.35,107.553,95.203,,49.8,33.1,49.8,33.2,30.6,46.9,15.5,9,25.6,1.044,46.4,37.1,49.4,26.5,32.9,47.3,16.9,15.5,74.4,0.985,73.6,19.235,0.803,,,,,,,54,57,63,,167,176,167,147,318,254,33,183,260,111,95,286,164,94,73,111,268,17,103,135,99,147,52,,,Florida
54,Drake,,,,,,,,,,,,,12.433,108.489,96.056,,55,35.8,54.5,36,37.8,45.8,17.8,6.4,25.8,1.093,46.4,27.9,44.7,31.3,35.7,34.6,19.8,9.1,74.2,0.918,80.3,9.2,0.802,,,,,,,53,46,79,,47,94,55,82,169,274,116,54,257,57,95,52,52,186,123,6,141,153,106,59,16,323,54,,,Drake
55,Washington St.,,,,,,,,,,,,,12.262,107.971,95.709,,47.7,44.4,56.2,32.4,44.8,52.3,17.8,7.1,30.3,1.15,45.4,31.7,46,33,29.7,50.9,15.7,8.8,69.7,0.942,71.4,13.496,0.8,,,,,,,55,53,71,,235,5,28,164,51,144,116,85,140,24,69,129,75,209,25,189,320,161,221,82,148,241,55,,,Washington St.
56,Oregon,,,,,,,,,,,,,12.454,109.781,97.327,,53.6,29.8,49.7,35.1,43.5,51.8,20.2,7.7,36.6,1.032,45.5,34.9,48.7,18.1,46.2,57.8,17.8,16.8,63.4,0.986,61.6,28.843,0.8,,,,,,,52,34,95,,73,280,170,113,67,156,229,120,27,132,71,224,144,10,337,296,224,10,337,138,334,31,55,,,Oregon
57,Boise St.,,,,,,,,,,,,,11.336,103.103,91.767,,50.7,29.8,48.6,28.7,35.9,37.6,16.4,7.2,25,0.987,46.1,27.5,44.3,30.9,37,39.4,20.3,13.7,75,0.867,69.7,15.26,0.792,,,,,,,61,131,32,,142,280,212,230,220,354,59,91,274,213,85,44,42,173,155,15,118,33,89,25,188,213,57,,,Boise St.
58,Stanford,,,,,,,,,,,,,11.515,104.988,93.473,,53,28.3,48.4,35.1,43.1,54,21.1,9.1,31,0.985,47.7,32.2,47.9,29.5,37.6,50.9,17.8,11.4,69,0.936,68.9,23.702,0.792,,,,,,,58,95,45,,87,316,218,113,71,104,266,188,128,217,133,146,125,154,173,189,224,85,233,79,208,76,57,,,Stanford
59,New Mexico,,,,,,,,,,,,,11.9,109.248,97.348,,53.6,32.6,52.4,43.4,25.6,57.5,13.8,5.1,31.3,1.141,48.1,33.8,49.2,22.2,43,54.9,21.4,11.1,68.7,0.92,72.7,6.79,0.79,,,,,,,56,41,97,,73,198,89,21,357,57,9,25,117,27,145,192,160,30,307,256,77,93,243,60,124,344,59,,,New Mexico
60,LSU,,,,,,,,,,,,,11.298,104.28,92.982,,51.5,38.6,53.8,38.5,37.1,51.7,20.3,4.2,29.5,1.064,47.9,27.5,45.1,33.2,42.4,53.4,24.5,9.7,70.5,0.896,73.8,10.273,0.789,,,,,,,62,105,39,,124,33,63,47,188,158,238,8,160,85,140,44,59,215,289,231,28,138,201,44,94,302,60,,,LSU
61,USC,,,,,,,,,,,,,11.348,105.545,94.197,,51.8,32.8,51,36,32,54.6,21.3,8.1,27.7,1.007,42.5,31.8,44.6,29.3,39.9,57.2,16.9,16.9,72.3,0.948,68.1,19.183,0.787,,,,,,,60,80,52,,116,190,128,82,301,95,275,138,210,180,25,132,50,151,246,290,268,9,152,91,234,148,61,,,USC
62,St. John's,,,,,,,,,,,,,11.407,106.132,94.725,,52.8,32.9,51.7,28.9,30.2,53.9,18.4,4.9,36.8,1.096,47.6,30.8,47,24.3,42.5,55.5,21.8,11.4,63.2,0.908,69.4,8.997,0.787,,,,,,,59,74,58,,91,185,99,225,322,106,142,18,22,53,130,114,99,61,290,264,67,85,340,52,194,325,61,,,St. John's
63,UC Irvine,,,,,,,,,,,,,10.766,102.271,91.505,,41.7,41.3,48.7,28.9,34.6,54.2,17.7,11.2,33,1.04,43.3,24.3,40.7,44.2,37.6,52.5,17.4,5.8,67,0.863,70.3,19.003,0.782,,,,,,,63,148,27,,339,13,209,225,246,102,110,272,74,119,38,11,10,336,173,215,243,295,288,23,176,153,63,,,UC Irvine
64,Sam Houston St.,,,,,,,,,,,,,10.393,101.203,90.81,,46.6,41,51.6,17.1,33.7,44.5,19.6,9.8,32.4,1.053,47.7,27.4,44.8,30.4,44,50,28.4,7.5,67.6,0.772,73.8,25.124,0.777,,,,,,,67,176,20,,270,15,102,359,269,296,198,223,90,100,133,42,54,165,324,161,7,214,272,5,94,57,64,,,Sam Houston St.
65,Colorado,,,,,,,,,,,,,10.415,104.972,94.557,,49.1,31.6,48.5,34.5,35.9,51.9,19.2,10.5,32.2,1.01,45.8,30.9,46,33.2,35.3,43.3,19.8,9.9,67.8,0.944,67.8,23.664,0.769,,,,,,,66,96,54,,188,237,216,122,220,150,176,254,95,171,82,116,75,215,116,52,141,131,268,85,241,77,65,,,Colorado
66,Northwestern,,,,,,,,,,,,,9.712,98.388,88.676,,44,31.9,45.6,30.5,41.9,62.7,18.5,12.5,30.4,0.976,37.6,26.3,38.5,24.5,47.9,54.3,23,19.4,69.6,0.774,73.3,15.591,0.768,,,,,,,73,249,10,,315,226,306,196,83,18,146,315,138,232,2,23,5,63,346,252,43,2,225,6,108,203,66,,,Northwestern
67,Kent St.,,,,,,,,,,,,,10,101.915,91.915,,46.5,36.1,49.5,30.8,39.4,51.3,18.5,9.3,27.9,1.024,42.7,29,43,43,42.7,53.8,28.6,10.8,72.1,0.839,73.9,24.335,0.766,,,,,,,70,155,33,,274,86,181,192,134,161,146,203,205,144,27,69,25,328,299,244,6,103,158,18,92,66,67,,,Kent St.
68,Michigan,,,,,,,,,,,,,10.549,108.932,98.383,,53.7,31.8,51.2,35.3,41.8,53,12.8,7.9,24,1.08,46.4,30.9,46.4,22.2,38.4,45.9,16.1,15.1,76,0.977,66.9,10.973,0.763,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,Michigan
