Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
Baylor,2,TRUE,,FALSE,TRUE,FALSE,TRUE,,FALSE,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,TRUE,7,Baylor,,,,,,
Duke,3,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,TRUE,6,Duke,,,,,,
Arkansas,3,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,TRUE,5,Arkansas,,,,,,
San Diego St.,3,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,TRUE,5,San Diego St.,,,,,,
Arizona,3,TRUE,,FALSE,FALSE,FALSE,TRUE,,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,TRUE,6,Arizona,,,,,,
Kentucky,4,TRUE,,FALSE,TRUE,FALSE,TRUE,,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,TRUE,7,Kentucky,,,,,,
Creighton,4,TRUE,,FALSE,TRUE,FALSE,TRUE,,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FALSE,,TRUE,6,Creighton,,,,,,
Michigan St.,4,TRUE,,FALSE,TRUE,FALSE,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,FALSE,5,Michigan St.,,,,,,
Illinois,4,TRUE,,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,FALSE,4,Illinois,,,,,,
Alabama,5,TRUE,,FALSE,FALSE,FALSE,TRUE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,Alabama,,,,,,
