SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,TEAM
5,Houston,N / A,26.5,117.3,90.9,63.8,28.6,117,88.4,0.962,22.69,65.1,55.1,34.1,66.9,53.6,28.7,39.1,59.5,37.8,72.7,17.3,17.1,43.5,29,70.5,43.5,35.1,42.9,55.4,27.3,62.2,6.4,21.7,6.2,85.29,1.147,0.89,100,100,100,100,Houston
5,Saint Mary's,N / A,19.8,109.8,90.0,63.5,17.9,108.3,90.4,0.889,25.91,64.8,52.6,35.1,76.7,52.6,23.2,36.1,51,27.3,78.1,6.5,17.1,47,34.4,71.4,48.3,24.4,28.8,35.9,21.9,72.7,8.8,19.5,3.9,77.42,1.06,0.933,100,100,100,100,Saint Mary's
5,Connecticut,N / A,19.3,113.9,94.6,64.9,18.6,113,94.4,0.888,27.68,66.2,47.8,35.3,75,49.6,30.6,34.2,52.2,38,72.5,16.7,17.4,42.8,34.5,68,45.7,31.9,32.6,44.2,27.5,62,8.3,18,3.2,71.88,1.099,0.953,100,100,100,100,Connecticut
5,Iowa,N / A,23.5,121.5,98.0,69.6,23.3,120.9,97.6,0.921,28.22,70.8,52.6,36.8,74.9,53.6,30.4,39.2,53.8,32.2,69.8,11.4,12.9,50,32.9,70.6,49.8,26.2,36.5,54.5,30.2,67.8,7.3,19.3,4.6,74.29,1.183,1.007,100,100,100,100,Iowa
6,Texas,N / A,20.4,111.8,91.4,63.1,21.8,110.6,88.8,0.926,34.94,64.1,50.9,32.3,74.9,50.1,32.3,36,53.3,31.9,70,10.1,18.2,46.1,31.6,66.9,46.5,36.8,33.7,43.9,30,68.1,9.3,23.3,3.3,65.63,1.056,0.921,100,100,100,100,Texas
6,Alabama,N / A,17.4,116.1,98.7,71.7,17.8,115.9,98.1,0.872,34.86,72.8,56.3,30.8,73,51.5,33.6,48,52.9,35.5,69.3,11.9,19.8,49.3,33.1,71.2,49.4,35.2,35.9,46.2,30.7,64.5,11.5,17.7,2,59.38,1.087,1.039,100,100,100,100,Alabama
6,Colorado St.,N / A,15.9,114.2,98.3,65.1,13.8,112.3,98.5,0.819,22.05,66.4,56.3,35.7,77.4,55.2,30.4,39,53.5,21.9,75.1,9.8,15.1,50.5,32.7,70.9,49.9,25,44.3,50.4,24.9,78.1,8.4,18.4,4.3,82.76,1.105,0.993,100,100,100,100,Colorado St.
6,LSU,N / A,19.1,107.6,88.6,68.6,18.5,105.8,87.3,0.901,30.10,69.8,50.5,31.9,73.2,49.5,33,34.6,48.7,33.7,68.8,14.8,20.4,47.7,28,69,45.1,38.4,45.9,54,31.2,66.3,8.8,25.3,2.3,66.67,1.029,0.894,100,100,100,100,LSU
7,Michigan St.,N / A,14.9,111.3,96.4,67.5,15.6,110.7,95.1,0.852,32.42,68.7,49.7,37.8,74.7,52,30.4,33.4,60.7,30.7,73,13.4,19.2,47.9,31.2,70.9,47.5,28.3,37.8,51.7,27,69.3,8.7,15.3,2.9,64.71,1.059,1.006,100,100,100,100,Michigan St.
7,Murray St.,N / A,16.4,111.5,95.1,65.8,15.2,110.2,95,0.846,12.85,67,53.5,34.7,69.8,52.9,31.1,37.7,50.2,35.5,74.6,9.5,17.1,50,30.1,67.6,48,24.6,40.6,45.5,25.4,64.5,10.5,21,3.5,93.10,1.131,0.924,100,100,100,100,Murray St.
7,Ohio St.,N / A,15.8,116.6,100.8,65.0,17.2,116.3,99.1,0.863,29.82,66.2,54,37.3,76,54.8,33.5,39.7,49,28.8,71.4,12.5,16.7,46.2,34,73.4,47.9,29.2,35.3,47.4,28.6,71.2,7.8,15.3,1.4,63.33,1.119,1.038,100,100,100,100,Ohio St.
7,USC,N / A,14.4,110.5,96.0,66.0,13.7,109.5,95.8,0.823,24.05,67.1,50.1,35.4,66.6,51.1,30.9,32,52.8,33.8,72.8,11.2,17.7,41.6,33.7,71.3,44.7,26.3,34.5,50,27.2,66.2,8.3,14.7,4.1,78.79,1.068,0.97,100,100,100,100,USC
8,North Carolina,N / A,16.0,113.1,97.0,70.1,16.9,112.7,95.8,0.866,29.70,71.2,50.7,36.2,77.2,52.1,29.6,37.4,53.6,30.4,79.2,9.7,16.5,48.3,34.9,73.7,49.8,21.5,36.9,48,20.8,69.6,8.5,14.1,4.3,72.73,1.096,1.014,100,100,100,100,North Carolina
