NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
17,Alabama,,,,,,,,,,,,,19.451,109.559,90.108,,48.8,35.6,50.9,38.2,45.4,55.1,22.4,12.4,41,1.091,38.5,29.3,40.3,31.7,32.3,46.1,16.3,14.6,59,0.893,70.9,26.871,0.904,100,100,Alabama
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Saint Mary's,,,,,,,,,,,,,18.832,106.129,87.297,,49.4,37.7,51.9,28.7,35.2,47.9,16.2,10.4,32.5,1.079,39.8,33.3,43.3,24.9,34.6,35.7,21.3,10.7,67.5,0.832,63.9,12.189,0.904,100,100,Saint Mary's
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Illinois,,,,,,,,,,,,,19.411,110.694,91.283,,62.1,37.7,59.5,32.6,46.1,53.8,22.3,5.1,36.2,1.131,42.1,28.4,42.3,29.1,31.1,48.1,25.6,12.8,63.8,0.821,65.3,19.59,0.902,100,100,Illinois
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,San Diego St.,,,,,,,,,,,,,19.073,108.994,89.921,,52.3,31.5,50.7,41,31.4,45.7,15.3,9.1,22.9,1.05,53.4,28.8,49.7,35.6,35.9,38.1,22,6.7,77.1,0.978,75.2,35.327,0.901,100,100,San Diego St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Memphis,,,,,,,,,,,,,18.358,108.464,90.106,,50.7,31.9,49.7,31.7,34.6,57.9,19.6,12,31.1,1.017,43.2,32.9,46.1,33.8,46.8,60.6,22.8,15.3,68.9,0.927,71.6,30.026,0.894,100,100,Memphis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,North Carolina,,,,,,,,,,,,,19.147,114.508,95.361,,54.4,30.8,51.6,43.2,33.6,42.4,16,5.7,30.9,1.104,44.7,35.6,48,23.7,37.8,48.7,17,12.4,69.1,1.005,75,20.939,0.891,100,100,North Carolina
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Auburn,,,,,,,,,,,,,17.317,104.16,86.843,,50,26.6,46.3,38.7,37,55.8,20,8.4,38.6,1.01,41.8,23.7,39.8,27.6,32.4,42.7,21,20.6,61.4,0.819,65.8,11.921,0.89,100,100,Auburn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Maryland,,,,,,,,,,,,,18.678,112.454,93.776,,61.2,30.8,55.6,37,37.3,41.6,16.7,4.9,38.1,1.203,45.3,26.3,43.4,26.3,32.6,40.9,20.1,11.4,61.9,0.893,75,12.639,0.89,100,100,Maryland
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Texas Tech,,,,,,,,,,,,,17.517,106.325,88.808,,54.4,33,52.8,35.5,33,57.9,21.7,9.8,31.9,1.055,43.8,29.4,43.9,25.2,41.2,48,22.2,12.9,68.1,0.878,73.7,19.877,0.888,100,100,Texas Tech
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Kansas,,,,,,,,,,,,,17.45,108.226,90.776,,50.5,33.3,50.3,25.8,33,61.5,17.5,6.4,30.3,1.027,43,30.6,44.1,26.6,39.3,45.5,19.9,12.5,69.7,0.925,62.6,27.713,0.883,100,100,Kansas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Iowa,,,,,,,,,,,,,18.221,114.487,96.266,,54.3,34.3,53.3,35.9,34.4,57.8,12.8,8.2,34.4,1.194,46.1,32.2,46.8,15.9,30.3,45.4,21.2,8.9,65.6,0.934,77.1,19.318,0.88,100,100,Iowa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Kansas St.,,,,,,,,,,,,,16.512,109.532,93.02,,49.6,37.7,51.9,38.3,33.3,67.9,22.5,8.3,36.4,1.077,47.1,29.7,46.3,41.4,32.7,48.4,26.8,9.6,63.6,0.866,79.4,11.719,0.868,100,100,Kansas St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Xavier,,,,,,,,,,,,,17.169,114.406,97.237,,52.8,46,57.3,35,27.4,63.8,19.1,9,32.3,1.135,47,38.8,50.5,28.4,30.7,54.1,18.5,10.6,67.7,1.033,72.9,27.774,0.866,100,100,Xavier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ohio St.,,,,,,,,,,,,,16.922,114.224,97.302,,55.6,34.1,54,30,35,42.8,17,6.4,37.8,1.172,44.3,26,42.5,25,34.2,36.5,15.8,8.9,62.2,0.901,80.6,20.951,0.863,100,100,Ohio St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Michigan St.,,,,,,,,,,,,,16.374,111.665,95.291,,48.6,36.8,50.8,27.7,34.1,61.2,17,9.7,31.7,1.071,48.5,31.2,47.8,28.7,43.8,58.6,15.9,8.4,68.3,1.025,75.2,32.53,0.861,100,100,Michigan St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Virginia Tech,,,,,,,,,,,,,16.251,111.834,95.583,,58.6,35.7,56.6,23.4,40.1,50.7,12.3,6.4,27.4,1.182,47.5,34.6,49.1,13.3,35.7,44,17.3,9.1,72.6,0.987,74.5,13.006,0.859,100,100,Virginia Tech
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Oklahoma,,,,,,,,,,,,,15.683,107.942,92.259,,54.6,36.7,54.7,31.8,34.4,56.2,18.8,8.3,19.9,1.03,46.5,25.6,44,22.5,30.3,41.9,16.3,10,80.1,0.891,70.3,16.938,0.859,100,100,Oklahoma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Oklahoma St.,,,,,,,,,,,,,15.358,105.901,90.543,,54.9,29.3,51.2,34.1,33.6,52.8,20,6.1,36.5,1.051,42.3,27.3,41.7,26.1,41.1,47.7,22,17.1,63.5,0.871,69.7,9.637,0.858,100,100,Oklahoma St.
