SEED,TEAM,ROUND,K ADJ. OFFENSE,B ADJ. OFFENSE,2PT %,3PT %,FT %,EFG %,FT RATE,3PT RATE,AST %,O REBOUND %,PPP O,BLOCKED %,TOV %,K ADJ. DEFENSE,B ADJ. DEFENSE,2PT % D,3PT % D,FT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,D REBOUND %,PPP D,BLOCK %,TOV % D,K ADJ. EFFICIENCY,B ADJ. EFFICIENCY,K ADJ. TEMPO,B ADJ. TEMPO,BARTHAG,ELITE SOS,WAB,WIN %,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,OP O REB %,OP D REB %,TEAM
5,Saint Mary's,N / A,109.8,108.3,52.6,35.1,76.7,52.6,23.2,36.1,51.00,27.3,1.06,8.8,17.1,90.0,90.4,47,34.4,71.4,48.3,24.4,28.8,35.9,78.1,0.933,6.50,19.5,19.8,17.9,63.5,64.8,0.889,25.91,3.9,77.42,100,100,100,100,21.9,72.7,Saint Mary's
5,Connecticut,N / A,113.9,113.0,47.8,35.3,75,49.6,30.6,34.2,52.20,38,1.099,8.3,17.4,94.6,94.4,42.8,34.5,68,45.7,31.9,32.6,44.2,72.5,0.953,16.70,18,19.3,18.6,64.9,66.2,0.888,27.68,3.2,71.88,100,100,100,100,27.5,62,Connecticut
5,Iowa,N / A,121.5,120.9,52.6,36.8,74.9,53.6,30.4,39.2,53.80,32.2,1.183,7.3,12.9,98.0,97.6,50,32.9,70.6,49.8,26.2,36.5,54.5,69.8,1.007,11.40,19.3,23.5,23.3,69.6,70.8,0.921,28.22,4.6,74.29,100,100,100,100,30.2,67.8,Iowa
6,Texas,N / A,111.8,110.6,50.9,32.3,74.9,50.1,32.3,36,53.30,31.9,1.056,9.3,18.2,91.4,88.8,46.1,31.6,66.9,46.5,36.8,33.7,43.9,70,0.921,10.10,23.3,20.4,21.8,63.1,64.1,0.926,34.94,3.3,65.63,100,100,100,100,30,68.1,Texas
6,Alabama,N / A,116.1,115.9,56.3,30.8,73,51.5,33.6,48,52.90,35.5,1.087,11.5,19.8,98.7,98.1,49.3,33.1,71.2,49.4,35.2,35.9,46.2,69.3,1.039,11.90,17.7,17.4,17.8,71.7,72.8,0.872,34.86,2,59.38,100,100,100,100,30.7,64.5,Alabama
6,Colorado St.,N / A,114.2,112.3,56.3,35.7,77.4,55.2,30.4,39,53.50,21.9,1.105,8.4,15.1,98.3,98.5,50.5,32.7,70.9,49.9,25,44.3,50.4,75.1,0.993,9.80,18.4,15.9,13.8,65.1,66.4,0.819,22.05,4.3,82.76,100,100,100,100,24.9,78.1,Colorado St.
6,LSU,N / A,107.6,105.8,50.5,31.9,73.2,49.5,33,34.6,48.70,33.7,1.029,8.8,20.4,88.6,87.3,47.7,28,69,45.1,38.4,45.9,54,68.8,0.894,14.80,25.3,19.1,18.5,68.6,69.8,0.901,30.10,2.3,66.67,100,100,100,100,31.2,66.3,LSU
7,Michigan St.,N / A,111.3,110.7,49.7,37.8,74.7,52,30.4,33.4,60.70,30.7,1.059,8.7,19.2,96.4,95.1,47.9,31.2,70.9,47.5,28.3,37.8,51.7,73,1.006,13.40,15.3,14.9,15.6,67.5,68.7,0.852,32.42,2.9,64.71,100,100,100,100,27,69.3,Michigan St.
7,Murray St.,N / A,111.5,110.2,53.5,34.7,69.8,52.9,31.1,37.7,50.20,35.5,1.131,10.5,17.1,95.1,95,50,30.1,67.6,48,24.6,40.6,45.5,74.6,0.924,9.50,21,16.4,15.2,65.8,67,0.846,12.85,3.5,93.10,100,100,100,100,25.4,64.5,Murray St.
7,Ohio St.,N / A,116.6,116.3,54.0,37.3,76,54.8,33.5,39.7,49.00,28.8,1.119,7.8,16.7,100.8,99.1,46.2,34,73.4,47.9,29.2,35.3,47.4,71.4,1.038,12.50,15.3,15.8,17.2,65.0,66.2,0.863,29.82,1.4,63.33,100,100,100,100,28.6,71.2,Ohio St.
7,USC,N / A,110.5,109.5,50.1,35.4,66.6,51.1,30.9,32,52.80,33.8,1.068,8.3,17.7,96.0,95.8,41.6,33.7,71.3,44.7,26.3,34.5,50,72.8,0.97,11.20,14.7,14.4,13.7,66.0,67.1,0.823,24.05,4.1,78.79,100,100,100,100,27.2,66.2,USC
8,North Carolina,N / A,113.1,112.7,50.7,36.2,77.2,52.1,29.6,37.4,53.60,30.4,1.096,8.5,16.5,97.0,95.8,48.3,34.9,73.7,49.8,21.5,36.9,48,79.2,1.014,9.70,14.1,16.0,16.9,70.1,71.2,0.866,29.70,4.3,72.73,100,100,100,100,20.8,69.6,North Carolina
8,Boise St.,N / A,108.4,106.9,51.1,34.1,65,51.1,35.2,38.6,46.80,30.6,1.038,8.9,18.5,92.0,91.7,48,32.4,72.1,48.2,25.8,33.2,43.3,78.1,0.928,9.80,20.1,16.4,15.2,64.6,65.7,0.854,21.58,3.5,78.79,100,100,100,100,21.9,69.4,Boise St.
8,San Diego St.,N / A,104.1,101.6,46.6,35.8,69.5,48.8,31.3,30.8,49.70,29.6,0.993,8.3,19.3,86.0,86.4,43.1,30.4,67.3,44,30.6,38.2,51,73,0.877,14.40,21.7,18.2,15.2,65.3,66.2,0.866,24.00,2.6,74.19,100,100,100,100,27,70.4,San Diego St.
8,Seton Hall,N / A,108.5,106.8,46.2,33.3,75.6,47.6,30.8,35.6,39.90,32.7,1.038,11,17.5,93.5,93,44.8,31,77.3,45.4,27.8,34.3,48.2,70.9,0.962,14.10,18.5,15.0,13.8,67.3,68.6,0.831,29.21,2.1,66.67,100,100,100,100,29.1,67.3,Seton Hall
9,Creighton,N / A,105.6,104.3,53.9,30.7,72.9,50.9,26,38.2,51.10,28.6,1.006,9.3,20.5,92.1,92.2,43.5,31.7,72.3,44.9,20.3,33.6,44.8,71.6,0.961,10.60,15.5,13.5,12.1,66.9,67.9,0.805,28.03,1.9,66.67,100,100,100,100,28.4,71.4,Creighton
9,Memphis,N / A,110.4,110.3,52.0,35.9,69.2,52.6,38.4,30.8,59.60,37.5,1.056,9.1,22.9,94.1,92.8,45.3,32.1,70,46.5,32.9,42.8,57,69,0.957,16.80,20.9,16.2,17.5,70.3,71.5,0.879,26.09,1.4,67.74,100,100,100,100,31,62.5,Memphis
9,TCU,N / A,108.3,107.2,50.5,30.3,66.8,48.9,31.2,32,53.90,37.8,1.01,8.6,21.6,93.4,92.6,47.9,31.5,71.2,47.7,26.7,34.6,54.2,73.9,0.964,11.40,18.4,14.9,14.6,65.8,66.9,0.843,35.94,2.9,62.50,100,100,100,100,26.1,62.2,TCU
9,Marquette,N / A,109.8,107.9,52.9,34.7,74.7,52.6,26.8,41.7,59.40,22.4,1.033,9.1,17.3,95.8,95.2,46.2,31.7,69.9,46.7,29.7,35.6,54.9,68.6,0.984,12.70,19.1,14.0,12.7,70.7,72.1,0.809,29.53,0.7,61.29,100,100,100,100,31.4,77.6,Marquette
10,Miami FL,N / A,114.8,114.3,54.9,35.3,74.3,54.2,28.9,35.9,50.80,23.4,1.104,8.6,14.2,102.1,100.5,53.9,35.2,69.1,53.4,24.6,39.4,56.6,69.7,1.048,8.50,20.3,12.6,13.8,67.3,68.5,0.815,27.26,2.6,69.70,100,100,100,100,30.3,76.6,Miami FL
10,Davidson,N / A,116.8,115.2,54.2,38.4,75.7,55.6,32.9,41.1,55.00,23.6,1.132,7.1,14.8,102.0,101,48.4,33.8,74.1,49.4,28,43.8,51.9,77.8,0.998,8.40,16.9,14.8,14.2,64.6,65.7,0.82,16.89,2.1,81.25,100,100,100,100,22.2,76.4,Davidson
10,Loyola Chicago,N / A,110.9,109.7,55.8,38.0,71.8,56.3,31.9,43.1,56.80,25.1,1.1,11.1,18.4,93.2,93,46.9,31.5,73.3,47,28.4,38.1,41.9,76.1,0.932,7.30,19.9,17.7,16.7,64.6,65.6,0.87,19.07,1.8,77.42,100,100,100,100,23.9,74.9,Loyola Chicago
10,San Francisco,N / A,110.8,109.9,53.9,34.7,69.2,53.1,28.4,44.4,47.00,30.3,1.076,9,18.1,92.4,92.4,48.4,28.9,71,46.9,32.2,30.4,43.2,76.2,0.944,11.50,18.5,18.4,17.5,68.7,69.8,0.88,24.13,1.6,71.88,100,100,100,100,23.8,69.7,San Francisco
11,Iowa St.,N / A,104.4,103.0,50.9,32.1,68.4,49.9,28.1,37.4,60.10,28.2,0.981,11.3,20.4,90.4,88.6,50.7,29.6,71.9,48.4,36.2,37.5,52.3,71.5,0.93,9.50,24.5,13.9,14.4,66.1,67.3,0.85,36.13,2.8,62.50,100,100,100,100,28.5,71.8,Iowa St.
11,Michigan,N / A,114.2,113.8,53.0,34.0,74.6,52.3,28.9,32.3,52.40,31.2,1.082,8.4,17.1,98.6,96.4,50.8,33,72.9,50.3,26.6,33.9,41.6,76.2,1.035,8.10,15,15.6,17.4,66.3,67.2,0.871,34.12,0.2,54.84,100,100,100,100,23.8,68.8,Michigan
11,Notre Dame,N / A,112.0,111.8,52.0,37.8,75.9,54,27.7,43.1,55.40,22.1,1.083,9.1,15.5,98.4,97,49.9,31.7,69.3,49.1,22.9,35.3,44.1,76,1.007,4.80,15,13.6,14.8,65.7,66.6,0.837,27.58,1.8,67.74,100,100,100,100,24,77.9,Notre Dame
11,Virginia Tech,N / A,114.3,114.1,52.5,39.3,74.3,55.2,23.7,41.4,55.40,28.1,1.111,9.4,17,96.4,94.2,49.4,31.7,74.4,48.7,25.2,37,50.6,73.9,0.978,9.50,18.8,17.9,19.9,62.9,64,0.901,28.39,1.7,65.71,100,100,100,100,26.1,71.9,Virginia Tech
11,Rutgers,N / A,106.4,104.6,49.1,33.6,70.1,49.5,26.9,31.4,58.70,29.3,1.025,8,17.3,95.5,95.5,46.5,34,73,48.3,28.8,40.2,52.9,72.9,0.993,11.80,18.2,10.9,9.1,64.9,66.1,0.74,29.08,-0.7,58.06,100,100,100,100,27.1,70.7,Rutgers
12,New Mexico St.,N / A,107.8,106.0,54.1,33.0,69.5,52.2,35.4,41.1,53.60,33.3,1.05,6.3,20.7,97.7,97.4,45.8,30,74.2,45.5,27.8,42.6,48.2,73.8,0.958,12.90,16.9,10.1,8.6,66.2,67.3,0.726,14.90,0.7,79.31,100,100,100,100,26.2,66.7,New Mexico St.
12,Richmond,N / A,109.1,107.6,52.2,33.8,72.5,51.5,30.9,42,57.30,22.4,1.057,9.4,14.4,99.3,99.3,50,34.3,72.3,50.5,23.5,35.7,48.3,72.8,1.006,6.10,18.9,9.8,8.3,66.9,67.8,0.716,19.57,-1.6,65.71,100,100,100,100,27.2,77.6,Richmond
12,Indiana,N / A,107.6,107.9,51.4,33.9,69.9,51.3,33.5,31.8,57.40,26.9,1.04,7,17.3,92.6,90,43.4,32.6,76.1,45.6,30.6,40.2,48,75,0.959,14.40,17.4,14.9,17.9,67.0,68.2,0.89,29.43,0.3,60.61,100,100,100,100,25,73.1,Indiana
12,UAB,N / A,112.5,110.8,50.6,38.3,73.9,52.9,29.5,32.7,44.20,33.4,1.121,8.7,16.3,98.5,97.6,47.5,32.4,71.1,47.9,31.5,37.1,45.9,72.6,0.954,11.40,21.4,14.0,13.2,68.8,69.9,0.811,13.99,-0.1,78.13,100,100,100,100,27.4,66.6,UAB
12,Wyoming,N / A,110.2,108.5,54.5,33.0,72.5,52.4,37,41.8,43.80,25.6,1.07,8.5,16.7,97.1,97.2,48.3,30.3,72.8,47.2,24.5,38.7,42.4,75.9,0.978,5.80,15.8,13.1,11.3,66.0,66.8,0.78,21.54,1.9,75.00,100,100,100,100,24.1,74.4,Wyoming
13,Akron,N / A,106.2,104.8,52.4,35.6,69.2,52.8,40.1,41.7,48.80,29.1,1.082,7.2,17.7,102.7,102.7,47.8,34.7,70.3,49.3,26.2,35.3,40.3,73.7,1.002,8.70,17.6,3.5,2.1,62.1,63,0.558,9.64,-4.3,70.97,100,100,100,100,26.3,70.9,Akron
13,Chattanooga,N / A,110.0,108.2,53.9,34.1,76.6,52.8,27,39.3,46.60,32.7,1.108,10,17,98.8,98.4,52.1,30.6,69.6,49.6,27.3,40.4,44.6,73.7,0.997,6.50,18,11.3,9.8,64.6,65.6,0.749,14.51,0.2,78.13,100,100,100,100,26.3,67.3,Chattanooga
13,South Dakota St.,N / A,116.8,114.9,56.3,44.2,76,59.7,35.2,34.3,47.30,24,1.191,7.1,15.3,105.3,103.7,50.6,35.2,74.1,51.5,21.3,41.4,43.7,75.8,1.038,6.30,15.8,11.4,11.2,69.4,70.7,0.765,11.01,1.5,87.50,100,100,100,100,24.2,76,South Dakota St.
